Avg. Area Income,Avg. Area House Age,Avg. Area Number of Rooms,Avg. Area Number of Bedrooms,Area Population,Price,Address
79545.45857,5.682861322,7.009188143,4.09,23086.8005,1059033.558,"208 Michael Ferry Apt. 674
Laurabury, NE 37010-5101"
79248.64245,6.002899808,6.730821019,3.09,40173.07217,1505890.915,"188 Johnson Views Suite 079
Lake Kathleen, CA 48958"
61287.06718,5.86588984,8.51272743,5.13,36882.1594,1058987.988,"9127 Elizabeth Stravenue
Danieltown, WI 06482-3489"
63345.24005,7.188236095,5.586728665,3.26,34310.24283,1260616.807,"USS Barnett
FPO AP 44820"
59982.19723,5.040554523,7.839387785,4.23,26354.10947,630943.4893,"USNS Raymond
FPO AE 09386"
80175.75416,4.988407758,6.104512439,4.04,26748.42842,1068138.074,"06039 Jennifer Islands Apt. 443
Tracyport, KS 16077"
64698.46343,6.025335907,8.147759585,3.41,60828.24909,1502055.817,"4759 Daniel Shoals Suite 442
Nguyenburgh, CO 20247"
78394.33928,6.989779748,6.620477995,2.42,36516.35897,1573936.564,"972 Joyce Viaduct
Lake William, TN 17778-6483"
59927.66081,5.36212557,6.393120981,2.3,29387.396,798869.5328,"USS Gilbert
FPO AA 20957"
81885.92718,4.42367179,8.167688003,6.1,40149.96575,1545154.813,"Unit 9446 Box 0958
DPO AE 97025"
80527.47208,8.093512681,5.0427468,4.1,47224.35984,1707045.722,"6368 John Motorway Suite 700
Janetbury, NM 26854"
50593.6955,4.496512793,7.467627404,4.49,34343.99189,663732.3969,"911 Castillo Park Apt. 717
Davisborough, PW 78603"
39033.80924,7.671755373,7.250029317,3.1,39220.36147,1042814.098,"209 Natasha Stream Suite 961
Huffmanland, NE 52457"
73163.66344,6.919534825,5.993187901,2.27,32326.12314,1291331.518,"829 Welch Track Apt. 992
North John, AR 26532-5136"
69391.38018,5.344776177,8.406417715,4.37,35521.29403,1402818.21,"PSC 5330, Box 4420
APO AP 08302"
73091.86675,5.443156467,8.517512711,4.01,23929.52405,1306674.66,"2278 Shannon View
North Carriemouth, NM 84617"
79706.96306,5.067889591,8.219771123,3.12,39717.81358,1556786.6,"064 Hayley Unions
Nicholsborough, HI 44161-1887"
61929.07702,4.788550242,5.097009554,4.3,24595.9015,528485.2467,"5498 Rachel Locks
New Gregoryshire, PW 54755"
63508.1943,5.94716514,7.187773835,5.12,35719.65305,1019425.937,"Unit 7424 Box 2786
DPO AE 71255"
